INFO  - 2015-10-12 08:50:28.692; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.693; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.692; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.693; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.693; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.693; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.694; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.694; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.698; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-10-12 08:50:28.698; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-10-12 08:50:28.698; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-10-12 08:50:28.699; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.699; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.699; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.700; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.700; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.700; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.702; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2015-10-12 08:50:28.702; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2015-10-12 08:50:28.702; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2015-10-12 08:50:28.702; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-10-12 08:50:28.703; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-10-12 08:50:28.703; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-10-12 08:50:28.703; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-10-12 08:50:28.703; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-10-12 08:50:28.703; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
WARN  - 2015-10-12 08:50:28.705; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
WARN  - 2015-10-12 08:50:28.705; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.705; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2015-10-12 08:50:28.705; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.706; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.705; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.706; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2015-10-12 08:50:28.706; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2015-10-12 08:50:28.706; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2015-10-12 08:50:28.708; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-10-12 08:50:28.708; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-10-12 08:50:28.709; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-10-12 08:50:28.721; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.721; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.721; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.723; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.723; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.725; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.725; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.726; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.726; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.726; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-10-12 08:50:28.738; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.738; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.738; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.739; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.739; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.739; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Digitizer/data/index,segFN=segments_1,generation=1}
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/Immobilien/data/index,segFN=segments_1,generation=1}
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm/data/index,segFN=segments_1,generation=1}
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-10-12 08:50:28.766; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-10-12 08:50:28.773; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3c5f7f0b[Immobilien] main
INFO  - 2015-10-12 08:50:28.773; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3be3cce1[Digitizer] main
INFO  - 2015-10-12 08:50:28.773; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@5bd4701[dbsimm] main
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/conf
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/conf
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm/conf
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/conf}
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/conf}
INFO  - 2015-10-12 08:50:28.778; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm/conf}
INFO  - 2015-10-12 08:50:28.786; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/conf
INFO  - 2015-10-12 08:50:28.786; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/conf
INFO  - 2015-10-12 08:50:28.786; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm/conf
INFO  - 2015-10-12 08:50:28.789; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm/conf
INFO  - 2015-10-12 08:50:28.789; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Immobilien/conf
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/conf
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-10-12 08:50:28.791; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2015-10-12 08:50:28.790; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.SolrCore; [Digitizer] Registered new searcher Searcher@3be3cce1[Digitizer] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.CoreContainer; registering core: Digitizer
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.CoreContainer; registering core: Immobilien
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.SolrCore; [Immobilien] Registered new searcher Searcher@3c5f7f0b[Immobilien] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-10-12 08:50:28.800; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm1/'
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.SolrCore; [dbsimm] Registered new searcher Searcher@5bd4701[dbsimm] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2015-10-12 08:50:28.799; org.apache.solr.core.CoreContainer; registering core: dbsimm
INFO  - 2015-10-12 08:50:28.815; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.5.0
INFO  - 2015-10-12 08:50:28.825; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-10-12 08:50:28.826; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm1/conf/schema.xml
INFO  - 2015-10-12 08:50:28.832; org.apache.solr.schema.IndexSchema; [dbsimm1] Schema name=DB-S-IMMs
INFO  - 2015-10-12 08:50:28.851; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2015-10-12 08:50:28.851; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2015-10-12 08:50:28.852; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-10-12 08:50:28.852; org.apache.solr.core.CoreContainer; Creating SolrCore 'dbsimm1' using configuration from instancedir /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm1/
INFO  - 2015-10-12 08:50:28.852; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2015-10-12 08:50:28.853; org.apache.solr.core.SolrCore; [dbsimm1] Opening new SolrCore at /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/dbsimm1/, dataDir=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm1/data/
INFO  - 2015-10-12 08:50:28.853; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: dbsimm1
INFO  - 2015-10-12 08:50:28.853; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm1/data
INFO  - 2015-10-12 08:50:28.884; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm1/data/index/
INFO  - 2015-10-12 08:50:28.885; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/eslider/Projects/dbsimm-flimas/application/solr/solr/dbsimm1/data/index
INFO  - 2015-10-12 08:50:28.886; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-10-12 08:50:28.886; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.886; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.887; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.887; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-10-12 08:50:28.887; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-10-12 08:50:28.887; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.888; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-10-12 08:50:28.888; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2015-10-12 08:50:28.888; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
